1.5025e+07,2016,7,16,0,17,0,0,37,1,3,1,57,35,1
2.3203e+06,2016,9,12,0,23,0,0,0,0,0,0,0,7,1
9.6844e+06,2015,4,12,0,22,0,0,55,1,1,2,50,0,1
1.1214e+07,2014,7,9,1,32,0,0,7,1,1,2,2,6,0
1.428e+07,2016,7,22,1,31,0,0,9,0,0,0,1,3,0
6.2716e+05,2016,8,5,0,22,0,0,20,0,0,0,3,2,0
1.8715e+07,2016,8,2,0,26,0,0,0,1,1,1,1,0,1
1.3238e+07,2016,6,15,0,18,0,0,12,0,2,1,26,3,1
1.9952e+06,2016,8,5,0,18,0,0,4,0,0,0,39,0,1
1.7546e+07,2016,8,18,0,29,0,0,0,1,1,1,2,0,1
1.3088e+07,2016,5,5,1,22,0,0,16,1,4,1,0,2,0
9.7575e+06,2016,8,21,0,20,0,0,4,0,0,0,7,0,1
2.6342e+07,2015,11,26,0,23,0,0,1,0,0,0,8,1,1
1.1974e+07,2016,7,28,0,21,0,0,0,1,1,1,7,61,1
4.4954e+06,2014,1,25,1,22,0,0,13,0,1,1,5,23,0
1.204e+07,2016,4,21,0,22,0,0,31,0,0,0,1,2,0
1.5354e+07,2016,7,24,0,23,0,0,0,0,0,0,1,12,1
2.7081e+06,2014,1,4,1,29,0,0,36,1,4,3,3,8,0
8.4365e+06,2014,4,5,0,39,0,0,78,1,1,1,23,13,0
1.3795e+07,2016,5,22,0,25,0,0,29,0,0,0,17,1,1
2.2338e+07,2016,8,29,0,23,0,0,0,0,0,0,1,5,1
1.0159e+07,2015,7,30,1,34,0,0,22,1,1,1,4,1,0
5.2064e+06,2016,8,16,0,23,0,0,0,1,1,1,4,1,1
1.7262e+07,2016,2,18,0,28,0,0,27,0,0,0,68,6,1
2.1611e+06,2016,8,22,0,26,0,0,0,0,0,0,2,0,1
7.5408e+06,2014,5,25,1,24,0,0,0,1,1,1,0,1,0
1.2629e+07,2015,7,13,0,25,0,0,50,0,2,0,77,14,0
1.0511e+07,2016,6,18,1,26,0,0,5,0,0,0,0,3,1
9.5007e+06,2014,12,11,0,21,0,0,54,2,0,0,12,1,0
3.9411e+06,2016,8,22,1,23,0,0,0,0,0,0,0,7,1
5.8935e+06,2016,7,24,0,22,0,0,0,0,0,0,5,0,1
1.8586e+06,2016,8,19,0,19,0,0,0,0,0,0,4,0,1
1.1261e+07,2013,1,7,0,23,0,0,7,1,1,0,1,1,0
1.335e+07,2014,12,14,1,32,0,1,53,3,0,2,3,3,0
8.57e+06,2016,3,11,1,28,0,0,7,1,0,1,1,10,0
1.4584e+07,2014,7,22,1,24,0,0,2,0,0,0,1,3,1
2.5528e+07,2016,7,10,1,23,0,0,0,0,0,0,0,2,1
2.5135e+07,2016,5,27,0,18,0,0,21,2,7,4,29,0,1
7.0127e+06,2013,2,18,1,19,0,0,11,0,1,0,0,3,0
9.8962e+06,2014,6,14,0,28,0,0,247,1,25,0,14,0,0
3.8632e+06,2016,1,29,0,19,0,0,1,1,1,2,1,0,0
2.3512e+07,2016,7,19,1,21,0,0,2,0,0,0,9,24,1
3.6879e+06,2016,8,5,1,20,0,0,0,0,0,0,0,4,1
5.8111e+06,2014,11,30,1,38,0,0,0,0,0,0,2,5,0
6.2564e+06,2016,3,27,0,22,0,0,2,0,0,0,2,0,0
2.2901e+07,2014,7,5,0,24,0,0,14,2,1,2,29,5,1
1.8e+07,2016,5,27,1,21,0,0,1,1,1,1,0,1,1
6.47e+06,2016,7,6,1,29,0,0,8,0,0,0,10,52,0
